trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,up,0.005,db,0.050520775,1,0.0003034,79.4681295,80.4861446,80.4861446,80.469445,80.7856901,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,up,0.005,db,0.050520775,1,0.0004173,81.8130807,82.830025,82.830025,82.8134756,83.1292906,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,down,0.005,db,0.050491701,1,0.0012241,84.2418486,85.2568675,85.2568675,85.2568675,85.5723523,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,down,0.005,db,0.050491701,1,0.0004877,86.6328533,87.6500895,87.6500895,87.6334525,87.9494612,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,up,0.005,db,0.050520775,0,0.0012009,89.0284751,90.0439148,90.0439148,90.0439148,90.3429823,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,up,0.005,db,0.050549865,0,0.0003109,91.4520101,92.4701859,92.4701859,92.4533749,92.7694853,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,up,0.005,db,0.050549865,1,0.0012411,93.8313798,94.8473491,94.8473491,94.8305544,95.146263,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,up,0.005,db,0.050578973,0,0.0012078,96.2596502,97.2739512,97.2739512,97.2573752,97.5895677,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,up,0.005,db,0.050608097,0,0.0004361,98.5990364,99.6174879,99.6174879,99.6007467,99.9167113,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,up,0.005,db,0.050637237,0,0.0005135,100.9420252,101.9612134,101.9612134,101.9442209,102.2602005,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
